SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
5.65,3.54,1.61,0.51,Iris-virginica
7.72,2.2,6.33,0.77,Iris-versicolor
6.94,2.39,3.98,0.52,Iris-setosa
6.46,4.16,5.88,0.31,Iris-virginica
4.86,3.46,2.89,0.39,Iris-versicolor
4.86,2.02,6.28,1.21,Iris-setosa
4.51,2.24,3.3,0.6,Iris-versicolor
7.42,3.59,1.06,0.97,Iris-virginica
6.46,2.01,6.34,1.31,Iris-setosa
6.85,2.39,1.54,1.76,Iris-versicolor
4.37,3.32,2.88,0.19,Iris-setosa
7.79,3.66,6.61,2.02,Iris-versicolor
7.3,3.56,6.61,1.61,Iris-virginica
5.06,2.54,4.38,0.3,Iris-virginica
4.95,3.71,4.73,2.2,Iris-setosa
4.96,2.57,3.65,2.31,Iris-versicolor
5.4,2.78,2.73,0.25,Iris-setosa
6.19,3.79,2.94,0.76,Iris-setosa
5.86,3.56,4.97,2.03,Iris-versicolor
5.35,4.04,5.44,1.9,Iris-versicolor
6.5,3.58,5.67,0.54,Iris-versicolor
4.8,3.36,5.66,0.6,Iris-virginica
5.35,2.22,1.54,0.99,Iris-setosa
5.62,2.88,3.92,1.26,Iris-setosa
5.94,2.64,1.34,1.58,Iris-virginica
7.13,2.59,4.24,0.99,Iris-versicolor
5.02,4.34,3.61,1.21,Iris-virginica
6.15,2.94,6.24,1.89,Iris-virginica
6.43,4.14,3.07,0.19,Iris-virginica
4.47,3.51,1.69,0.71,Iris-setosa
6.49,3.91,1.84,1.81,Iris-virginica
4.91,3.21,5.49,2.25,Iris-setosa
4.53,3.38,4.65,1.33,Iris-setosa
7.72,3.18,1.6,1.38,Iris-setosa
7.78,2.47,1.5,0.36,Iris-versicolor
7.21,3.73,5.14,1.17,Iris-setosa
5.4,2.67,1.43,1.38,Iris-setosa
4.65,2.06,5.85,0.68,Iris-versicolor
6.76,3.55,5.17,0.75,Iris-setosa
5.88,2.43,1.48,1.01,Iris-virginica
4.74,4.26,1.5,0.15,Iris-virginica
6.08,4.29,6.82,0.87,Iris-setosa
4.42,4.2,3.21,0.61,Iris-versicolor
7.57,2.89,3.19,0.89,Iris-virginica
5.23,2.04,5.8,0.39,Iris-versicolor
6.69,4.23,6.59,2.24,Iris-versicolor
5.42,3.03,6.82,1.52,Iris-virginica
6.17,4.32,5.44,1.73,Iris-versicolor
6.27,4.31,3.22,1.99,Iris-virginica
4.97,4.05,1.49,1.3,Iris-versicolor
7.79,2.71,5.59,0.31,Iris-virginica
7.09,2.92,4.29,1.39,Iris-setosa
7.68,4.04,3.5,1.51,Iris-virginica
7.52,2.76,6.35,1.89,Iris-virginica
6.45,2.41,1.66,1.14,Iris-virginica
7.62,3.34,3.91,0.41,Iris-virginica
4.62,4.25,1.07,0.78,Iris-versicolor
5.01,3.67,3.77,0.97,Iris-setosa
4.46,3.37,1.33,1.65,Iris-virginica
5.47,2.23,1.7,1.47,Iris-versicolor
5.7,3.48,1.69,0.95,Iris-setosa
5.28,4.38,4.83,2.47,Iris-setosa
7.28,2.34,5.4,1.55,Iris-setosa
5.58,3.24,4.44,0.67,Iris-setosa
5.31,4.11,6.68,0.34,Iris-virginica
6.25,3.78,3.21,0.47,Iris-virginica
4.81,3.67,2.69,0.69,Iris-versicolor
7.19,3.69,6.12,0.49,Iris-versicolor
4.57,2.86,2.32,0.55,Iris-versicolor
7.85,2.7,6.68,0.78,Iris-setosa
7.08,3.94,1.07,0.52,Iris-setosa
5.02,3.94,6.72,2.25,Iris-virginica
4.32,4.08,1.25,0.29,Iris-setosa
7.24,4.19,6.26,1.36,Iris-setosa
6.84,3.23,4.11,1.08,Iris-setosa
6.92,3.2,6.86,2.46,Iris-versicolor
7.08,3.92,1.44,0.37,Iris-versicolor
4.57,3.56,4.27,1.05,Iris-virginica
5.59,3.68,6.72,2.43,Iris-setosa
4.72,3.91,4.09,2.18,Iris-setosa
7.41,4.14,4.71,2.06,Iris-virginica
6.54,2.81,5.1,0.72,Iris-setosa
5.49,2.9,3.68,0.51,Iris-setosa
4.53,2.23,4.7,1.7,Iris-versicolor
5.42,3.39,4.45,2.33,Iris-virginica
5.47,2.09,6.32,1.44,Iris-virginica
6.93,3.12,1.27,1.47,Iris-virginica
6.6,3.3,2.66,0.77,Iris-virginica
7.49,2.69,6.61,1.95,Iris-versicolor
6.0,3.42,6.25,0.55,Iris-versicolor
4.73,2.07,3.69,0.88,Iris-setosa
6.87,2.09,4.66,1.12,Iris-setosa
7.04,3.97,2.64,1.32,Iris-setosa
6.32,2.86,2.11,0.68,Iris-setosa
7.08,2.3,3.74,0.38,Iris-versicolor
6.08,3.25,3.08,1.57,Iris-virginica
6.18,3.85,4.44,0.79,Iris-versicolor
5.84,2.52,1.46,1.49,Iris-setosa
4.39,3.49,6.75,0.47,Iris-versicolor
4.69,2.2,6.82,1.25,Iris-virginica
4.41,2.12,5.12,1.38,Iris-virginica
6.59,3.28,4.16,0.22,Iris-versicolor
5.43,3.3,2.83,0.91,Iris-versicolor
6.13,3.53,5.8,0.42,Iris-versicolor
7.57,3.74,5.04,0.25,Iris-setosa
5.2,4.34,1.96,2.48,Iris-versicolor
5.78,3.24,6.37,0.87,Iris-versicolor
7.02,2.78,5.85,2.04,Iris-versicolor
5.12,3.91,6.6,0.71,Iris-virginica
4.58,2.65,5.28,1.74,Iris-virginica
5.34,3.05,4.62,1.92,Iris-setosa
4.88,2.19,3.47,1.53,Iris-setosa
7.65,2.06,6.5,1.23,Iris-virginica
7.21,4.31,6.11,1.09,Iris-virginica
6.58,4.01,1.27,0.94,Iris-virginica
7.44,3.67,1.16,2.33,Iris-versicolor
7.19,2.98,3.22,2.09,Iris-versicolor
4.97,2.42,5.78,2.42,Iris-virginica
7.51,2.38,6.82,0.4,Iris-versicolor
6.24,2.6,1.89,1.85,Iris-versicolor
7.21,3.32,4.51,2.35,Iris-setosa
7.53,3.72,3.25,0.53,Iris-virginica
5.44,3.58,6.72,0.26,Iris-virginica
